Issue Id,Summary,Description,Issue Type,Parent,Labels,Link "Blocks"
E1,Frontend/UI,All tasks related to the web interface, user experience, and design polish,Epic,,,
E2,Backend Infrastructure,Core backend logic, schemas, and state persistence,Epic,,,
E3,Agent & Marketplace Mechanics,Marketplace rules and agent behaviors,Epic,,,
E4,Containerization/DevOps,End-to-end containerization and deployment,Epic,,,
E5,Documentation & Next Steps,Docs, planning, and cleanup,Epic,,,
E6,LLM Testing & Evaluation,Evaluation and benchmarking of LLMs in Agora,Epic,,,

T1,Fix copy button on API key,Fix broken copy-to-clipboard on API key page,Task,E1,"frontend,bug",
T2,Sidebar should refresh on tab change,Make sidebar state update properly when switching tabs,Task,E1,"frontend,bug",
T3,Agora link on stagiralabs.com is broken,Fix broken external link to Agora on stagiralabs.com,Task,E1,"frontend,bug",
T4,Asset documentation can't scroll,Fix scrolling issue in asset documentation pane,Task,E1,"frontend,bug",
T5,Rotate sidebar to top + separate pages,Restructure UI to place sidebar at top and split into separate pages,Task,E1,"frontend,feature",
T6,Remove change_cash button,Remove frontend button tied to change_cash API,Task,E1,"frontend,cleanup",T10
T7,Remove quantity fraction parsing,Remove residual quantity fraction parsing in frontend,Task,E1,"frontend,bug,cleanup",T10
T8,Investigate: does frontend need to pull from GitHub?,Research whether frontend can query library server-side instead of GitHub,Task,E1,"frontend,investigation",

T9,Backend shouldn’t build on every container startup,Fix repeated build process on every container startup,Task,E2,"backend,infra,bug",
T10,Move chroma_db outside agora_lib,Explore moving chroma_db outside agora_lib to preserve state across restarts,Task,E2,"databases,infra,investigation",
T11,Permissions: prevent DB edits outside change_assets,Restrict DB modifications so only change_assets can mutate state,Task,E2,"backend,databases,infra,bug",
T12,Fix bug: open targets resolved after DB restart,Ensure open targets persist correctly across DB restarts,Task,E2,"backend,databases,bug",
T13,Fix change_assets_offers_agents + remove imports,Refactor function to change agents and clean imports in api.py,Task,E2,"backend,bug,cleanup",
T14,Investigate modify_portfolio (broken),Investigate and fix broken modify_portfolio logic,Task,E2,"backend,bug,investigation",
T15,Decide if target_status belongs in DB or agora-lib,Schema decision: should target_status be stored in DB or agora-lib?,Task,E2,"databases,library-mechanics,investigation",
T16,Reinstate targets_to_contributions (or rewrite),Reinstate targets_to_contributions function or port to Lean,Task,E2,"library-mechanics,cleanup,feature",

T17,Password protections: prevent model impersonation,Add authentication so models cannot impersonate other agents,Task,E3,"market-mechanics,infra,bug",
T18,Create looping agent,Implement agent that loops and retries automatically,Task,E3,"market-mechanics,feature",
T19,Change modify_holdings: remove ability to name assets,Restrict modify_holdings to disallow naming assets,Task,E3,"market-mechanics,cleanup",
T20,Write robust documentation: money conservation,Document invariants to prevent money conservation bugs,Task,E3,"market-mechanics,docs,infra",
T21,Reverse library submission: add target notifications,Add support for target notifications in reverse library submission flow,Task,E3,"market-mechanics,library-mechanics,feature,infra",

T22,Containerization end-to-end,Complete containerization flow across all services,Task,E4,"infra,feature",
T23,Re-include reset_git.py,Restore reset_git.py to container setup,Subtask,T22,"infra,cleanup",
T24,Fix submit_contribution/submit_target routing,Fix direction of submission routing between mechanics,Subtask,T22,"market-mechanics,library-mechanics,infra,bug",
T25,Move queue from backend_interface → mechanics,Refactor queue from backend_interface into market + library mechanics,Task,E4,"infra,backend,market-mechanics,cleanup",T29
T26,Volume for Lean library (outside mechanics/frontend),Mount Lean library volume outside mechanics and frontend,Task,E4,"infra,library-mechanics",
T27,Rip queue out of backend_interface,Rip queue logic out of backend_interface and decouple,Task,E4,"backend,infra,cleanup",

T28,Write pseudocode for queue changes,Write pseudocode before implementing queue refactor,Task,E5,"docs",
T29,Move contributions/targets into library_mechanics,Move contribution and target logic fully into library_mechanics,Task,E5,"library-mechanics,cleanup",
T30,General documentation pass,Improve overall documentation quality and coverage,Task,E5,"docs",
T31,Pull together list of next steps,Prepare list of next steps for team planning,Task,E5,"docs",
T32,Meeting notes cleanup (“username/agentname”),Standardize agent_id naming convention in docs,Task,E5,"docs",

T33,Set up LLM evaluation framework,Build evaluation framework for LLMs in Agora,Task,E6,"agents,feature,infra",
T34,Build benchmarking suite (datasets + metrics),Create datasets + metrics for LLM benchmarking,Task,E6,"agents,feature",T33
T35,Integrate LLM API with market backend,Integrate external LLM APIs with backend mechanics,Task,E6,"agents,backend,feature,infra",T33
T36,Design basic RL-style gym interface,Prototype RL-style environment for agent training,Task,E6,"agents,investigation,feature",
T37,MCP scaffolding (multi-agent control protocol),Build scaffolding for multi-agent orchestration (MCP),Task,E6,"agents,feature,infra",T33
T38,Documentation for evaluation pipeline,Write documentation for LLM evaluation + MCP pipeline,Task,E6,"agents,docs",
